,main_title,title,variable,value
228,11.東日本大震災復旧・復興予備費,11.東日本大震災復旧・復興予備費,2000,0
229,12.熊本地震復旧等予備費,12.熊本地震復旧等予備費,2000,0
230,12．予　　備　　費,12．予　　備　　費,2000,0
231,13．そ　　の　　他,13．そ　　の　　他,2000,117848770
232,１．国 家 機 関 費,皇室費,2001,7408714
233,１．国 家 機 関 費,国会費,2001,154158813
234,１．国 家 機 関 費,選挙費,2001,63135863
235,１．国 家 機 関 費,司法、警察及び消防費,2001,1410079489
236,１．国 家 機 関 費,外交費,2001,864050579
237,１．国 家 機 関 費,一般行政費,2001,1542488050
238,１．国 家 機 関 費,徴税費,2001,804571086
239,１．国 家 機 関 費,貨幣製造費,2001,0
240,２．地 方 財 政 費,地方財政調整費,2001,16705603842
241,２．地 方 財 政 費,元利補給,2001,54806
242,２．地 方 財 政 費,その他,2001,20012086
243,４．国土保全及び開発費,国土保全費,2001,1681665637
244,４．国土保全及び開発費,国土開発費,2001,7073334122
245,４．国土保全及び開発費,災害対策費,2001,363817506
246,４．国土保全及び開発費,試験研究費,2001,33792900
247,４．国土保全及び開発費,その他,2001,119399958
248,５．産 業 経 済 費,農林水産業費,2001,1145645814
249,５．産 業 経 済 費,商工鉱業費,2001,1485677972
250,５．産 業 経 済 費,運輸通信費,2001,268274058
251,５．産 業 経 済 費,産業投資特別会計へ繰入,2001,664460772
252,５．産 業 経 済 費,物資及び物価調整費,2001,462388994
253,６．教 育 文 化 費,学校教育費,2001,5480839525
254,６．教 育 文 化 費,社会教育及び文化費,2001,115316587
255,６．教 育 文 化 費,科学振興費,2001,816322995
256,６．教 育 文 化 費,災害対策費,2001,2681165
257,７．社会保障関係費,社会保険費,2001,14658715588
258,７．社会保障関係費,生活保護費,2001,1581977268
259,７．社会保障関係費,社会福祉費,2001,2005755822
260,７．社会保障関係費,住宅対策費,2001,1200500118
261,７．社会保障関係費,失業対策費,2001,435350349
262,７．社会保障関係費,保健衛生費,2001,1040545799
263,７．社会保障関係費,試験研究費,2001,103589866
264,７．社会保障関係費,災害対策費,2001,3388509
265,７．社会保障関係費,その他,2001,209905667
266,８．恩　　給　　費,文官恩給費,2001,56228511
267,８．恩　　給　　費,旧軍人遺族等恩給費,2001,1211854232
268,８．恩　　給　　費,その他,2001,81405806
269,３．防 衛 関 係 費,３．防 衛 関 係 費,2001,4993022486
270,９．国　　債　　費,９．国　　債　　費,2001,15828895417
271,10.経済危機対応・地域活性化予備費,10.経済危機対応・地域活性化予備費,2001,0
272,11.東日本大震災復旧・復興予備費,11.東日本大震災復旧・復興予備費,2001,0
